1,1,1,1,0,0D,0,0,0,0,0,0,0H,0,1,1H,1,1,1,1,
1,1,1,1,0S,0,0,0,0,0,0,0,0,0S,1,1,1,1,1,1,
1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,
1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
0,0,0,0,0,0,0,0,0,0,0S,0A,0,0,0,0,0,0,0,1,
0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,
0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,
0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0D,0,0,0,1,
0S,0,0,0,0,0,2,1,1H,1,1,1,1,1,2,0,0,0,0,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1D,1,
1,0,0,0,0,0,2,1,1,1,1,1,1,1,2,0,0,0,0,0S,
1,0D,0,0,0,0,0,1,1,1,1,1,1,1,0A,0,0,0,0,0,
1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0D,2,1,2,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0S,0,0,0,0,0,0,0,0,0,
1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,
1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0D,1,1,1,1,
1,1,1,1,1,1,0S,0,0,0,0,0,0D,0,0,0S,1,1,1,1,
1,1,1,1,1,1,0,0,0,0D,0,0,0,0,0,0,1,1,1,1,
