2,1,1,1,1|1,1,2,2,2|0,0,0,2,2|0,0,0,0,0
2,1,1,1,1|1,1,1,1,0|2,0,0,0,0|0,0,0,0,0
2,1,1,1,1|0,1,0,0,0|0,0,0,1H,0|0,0,0,0,0
2,1,1,1,1|0,0,0,0,0|0S,0,0S,1,1|0,0,0,0,0
2,1,1,1,1|1,0,0,1,1|1,0,0,0,1|0,0,0,0,0
2,0,0,0S,0|0,0,0,0,0|1,1,1,1,1|0,0,0,0D,2
2,2,0,0,0|0,0,0,0,0S|1,1,1,1,1|0S,0,0,0,0
2,2,0,0,0S|0,0,0,0,0|1,1,2,1,1|0,0,0,0,0
2,0,0,0,1|0,0,0,0,0|1,2,2,2,1|1,0,0,0,2
2,0H,0,0,1|0,0,0,0,0|1,1,2,1,1|1,1,0,0,2
2,0,0,1H,1|0,0,0,0,2|0,1,0,0,0S|0,0,0,0,2
0,0,0,0,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0H
0,0,0,0,0|0,0,0A,2,0|0,0,0,0,0|0,0,0,0,0
0,0,0,0,0|0,0,0,2,2|0,0,0,0,0|0,0,0,0,0
0,0,0,0,0|0S,0,0,2,0|0,0,0S,1,1|0,0,0,0,0
0,0,0,0,0|1,0,0,0,0|0,0,0,0,1|0,0,0,0,2
0,0,0,0,0|1,0,0,0,0|0,0,0,0,0S|0,2,2,2,2
0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,2,2,2,2
0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,2,2,2,2
0,0,0,0,0|2,0,0,0H,0|0,0,0,0,0|2,2,2,2,2
